,POI_yelp_id,station_ebikes,station_empty_slots,station_free_bikes,station_has_ebikes,station_id,station_normal_bikes,station_renting,station_returning,station_slots,station_distance_min,station_distance_max,station_distance_mean,station_distance_median,station_distance_25_percentile,station_distance_75_percentile,station_distance_IQR,POI_category_name,POI_category_count,POI_alias,POI_name,POI_is_closed,POI_url,POI_review_count,POI_rating,POI_price
21,-jNd7hdq4EPGznG7ndL-ew,54,336,357,38,38,303,38,38,703,150.87620362783133,1231.5593153375717,781.5876400827917,842.2363510473047,584.0434770899885,976.5896844061334,392.5462073161449,['Transport_Hub'],1,epic-rides-vancouver,Epic Rides,False,https://www.yelp.com/biz/epic-rides-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,35,4.0,
22,-kPDlMIs5DBkQgxWaWvvBQ,18,256,304,28,28,286,27,27,568,53.05036438624278,1106.054824383166,484.1501074480579,444.3882094676965,223.7269128063583,688.3647590871237,464.6378462807654,['Bar' 'Restaurant'],2,the-bayside-lounge-vancouver,The Bayside Lounge,False,https://www.yelp.com/biz/the-bayside-lounge-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,106,3.5,$$
23,-naJRqkmbos0UeWApfEvtw,29,251,202,25,25,173,25,25,462,114.22983880580698,1236.4740525198006,473.27402927848954,420.02412300293287,269.04412036746754,759.453879878686,490.4097595112185,['Bar' 'Restaurant'],2,the-parlour-vancouver,The Parlour,False,https://www.yelp.com/biz/the-parlour-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,456,4.0,$$
24,-nnbiBMMbT5gj4zVnxvyuA,67,423,528,47,47,461,47,47,960,31.118720327599583,1368.574209197263,715.9961023154643,725.1782332496078,478.34295571730354,945.1836202484212,466.8406645311177,['Park'],1,cathedral-square-vancouver,Cathedral Square,False,https://www.yelp.com/biz/cathedral-square-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,3.0,
25,-rfxpW-yQOWm-ZkbM8C6pQ,10,33,49,5,5,39,5,5,82,144.76902772060453,580.5845983510197,331.11543937742965,286.31345144832346,232.51022190838648,411.399897458814,178.8896755504275,['Restaurant'],1,jade-dynasty-restaurant-vancouver-3,Jade Dynasty Restaurant,False,https://www.yelp.com/biz/jade-dynasty-restaurant-vancouver-3?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,181,3.5,$$
26,-tkJ6OjNGEHyIVF2WNjT4Q,24,290,173,25,25,149,25,25,473,214.56328693698933,1215.7262933987618,603.6708764963482,564.4905768204109,346.17148349923355,823.2861872082391,477.11470370900554,['Bar' 'Restaurant'],2,unwind-holiday-inn-vancouver,Unwind @ Holiday Inn,False,https://www.yelp.com/biz/unwind-holiday-inn-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,7,3.0,$$
27,0-GUtXbpzDsU8XJBz24RYw,2,109,53,8,8,51,8,8,169,79.07057570975107,485.1667794013474,306.2923225376753,296.1390398078797,212.40252322016838,443.2190021462473,230.81647892607893,['Restaurant'],1,pho-central-vancouver-2,Pho Central,False,https://www.yelp.com/biz/pho-central-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,164,3.5,$
28,001omuUjyeAdfjvfZrStSA,56,311,290,33,33,234,33,33,613,3529.256176856432,5478.354597131549,4506.1116797967,4582.659441863684,4106.927026428616,4895.405135893324,788.4781094647078,['Transport_Hub'],1,24-7-limousine-vancouver,24/7 Limousine,False,https://www.yelp.com/biz/24-7-limousine-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,3.5,
29,02cGvRTfVXeHWYkoiyj6wA,5,9,56,3,3,51,3,3,65,87.19903531573301,163.89556311793197,137.98468659027262,162.85946133715288,125.02924832644294,163.3775122275424,38.34826390109947,['Restaurant'],1,kita-no-donburi-vancouver,Kita No Donburi,False,https://www.yelp.com/biz/kita-no-donburi-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,138,3.5,$$
30,06VZRLcoGiVSuYbpEYGYHA,66,382,454,41,41,388,41,41,845,105.4811405420298,1256.4336179670986,704.0449567533149,708.669563462913,496.9444623946736,932.1458595302792,435.20139713560553,['Parking'],1,diamond-parking-vancouver-6,Diamond Parking,False,https://www.yelp.com/biz/diamond-parking-vancouver-6?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,155,1.0,
