station_id,station_name,latitude,longitude,empty_slots,free_bikes,timestamp,extra.uid,extra.normal_bikes,extra.has_ebikes,extra.ebikes,extra.slots,extra.renting,extra.returning,extra.last_updated
93c88a18c673e2c72a6afa93d6b89f18,10th & Main,49.262141,-123.101961,15,3,2023-02-13T19:22:31.614000Z,0074,1,True,2,18,True,True,1676315656
8fb5ce1e34ad31de940481953aea452c,Cypress & 4th,49.268269,-123.147885,8,10,2023-02-13T19:22:31.616000Z,0076,10,True,0,18,True,True,1676316094
aa704bfba40286bd0661b64d1f75e778,Vanier Park,49.275717,-123.142564,3,25,2023-02-13T19:22:31.615000Z,0077,25,True,0,28,True,True,1676316145
8c9ea7f2132376859ef34fab981d6932,Nelson & Mainland,49.276436,-123.11877,9,11,2023-02-13T19:22:31.618000Z,0078,10,True,1,20,True,True,1676315968
1d4153659a0a0a2089078c739df6737d,Nelson & Richards,49.277844,-123.120942,9,9,2023-02-13T19:22:31.617000Z,0079,3,True,6,18,True,True,1676316096
fbb4c06b719596c21f91fd51ef6d4710,7th & Heather,49.265089,-123.119425,4,14,2023-02-13T19:22:31.674000Z,0081,12,True,2,18,True,True,1676316104
72c1049dfbbde7c24ec45c14f1a5ee85,Harwood & Bute,49.28026,-123.135244,20,0,2023-02-13T19:22:31.671000Z,0088,0,True,0,20,True,True,1676315727
00fa94ad698dc4a9e4d708d6fd32f294,Chilco & Barclay,49.291909,-123.140713,18,0,2023-02-13T19:22:31.719000Z,0092,0,True,0,18,False,False,0
efa947b901a2cf85b58320b3ad26a2fe,Chilco & Robson,49.293257,-123.138563,9,7,2023-02-13T19:22:31.718000Z,0093,7,True,0,16,True,True,1676316029
66a53e9c32e4f5c724f9478240020142,Nicola & Robson,49.288011,-123.132006,11,7,2023-02-13T19:22:31.716000Z,0096,7,True,0,18,True,True,1676316083
97b25faf822b93fdbf72da1d594c0288,Carrall & Hastings,49.28117,-123.104419,0,18,2023-02-13T19:22:31.715000Z,0098,15,True,3,18,True,True,1676316081
6c7fb9043e6df5a4cc50404581a947b9,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,21,6,2023-02-13T19:22:31.714000Z,0099,4,True,2,28,True,True,1676315804
30bf49544b1c864688b78172d42cca5e,Stanley Park - Vancouver Aquarium,49.299292,-123.130281,6,10,2023-02-13T19:22:31.502000Z,0101,10,True,0,16,True,True,1676315862
9f63cebac9073eac3e90be2b9a91b02b,Stanley Park - Second Beach North,49.29534,-123.150433,4,12,2023-02-13T19:22:31.507000Z,0102,10,True,2,16,True,True,1676316006
9aa325529164ec68b4d96c4f1c4fc7c1,Stanley Park - Second Beach South,49.294318,-123.148808,10,8,2023-02-13T19:22:31.498000Z,0104,7,True,1,18,True,True,1676316058
e3d32ad772a5898c3b96c4d23d2cd542,Stanley Park - Totem Poles,49.298657,-123.121176,10,10,2023-02-13T19:22:31.496000Z,0105,10,True,0,20,True,True,1676315847
625a2ad202275c8e2be3ce868e85b105,Heather & 14th,49.259183,-123.120126,10,8,2023-02-13T19:22:31.501000Z,0106,8,True,0,18,True,True,1676315978
6c0de983fb47a3439a9e3c36a3d15804,8th & Ontario,49.263837,-123.105173,13,3,2023-02-13T19:22:31.499000Z,0107,3,True,0,16,True,True,1676316093
92c9e62c0b42adf4759c430009d3987a,1st & Chestnut,49.270721,-123.146175,17,9,2023-02-13T19:22:31.493000Z,0108,8,True,1,26,True,True,1676315723
51e4d3731aebbf9c3186f310a08de6c8,7th & Arbutus,49.265605,-123.152566,7,9,2023-02-13T19:22:31.492000Z,0109,9,True,0,16,True,True,1676315559
826af7eee4ce28b6fa4b4f0211305792,5th & Arbutus,49.267222,-123.153157,11,5,2023-02-13T19:22:31.447000Z,0110,5,True,0,16,True,True,1676315995
4cb84c9a3743287019ae00ceef9a1cd3,10th & Oak,49.262255,-123.126217,13,13,2023-02-13T19:22:31.446000Z,0112,3,True,10,30,True,True,1676316079
56fef9ba0af67a4ff3e661a8e02c0b08,Arbutus & 16th,49.257654,-123.153212,25,15,2023-02-13T19:22:31.447000Z,0113,5,True,10,40,True,True,1676315957
c81f75a80312c51ceaef1304beac1990,Cypress & 14th,49.25919,-123.148268,9,3,2023-02-13T19:22:31.449000Z,0114,3,True,0,12,True,True,1676316119
afacb2133f2462aba7748cc21b71c788,Cypress & 16th,49.25741,-123.148531,5,7,2023-02-13T19:22:31.450000Z,0115,5,True,2,12,True,True,1676315667
a9f0b06d07f89b75e92c0cf686223aea,Georgia & Thurlow,49.285953,-123.124066,4,8,2023-02-13T19:22:31.419000Z,0123,8,True,0,12,True,True,1676315636
686b314a6c3348efd2297d6b3dfed1a7,Thurlow & Pendrell,49.280881,-123.130672,14,1,2023-02-13T19:22:31.416000Z,0126,1,True,0,16,True,True,1676316142
0d1b5c62f8d22e3650811df55596e25b,Heather & 16th,49.256845,-123.120071,6,5,2023-02-13T19:22:31.398000Z,0130,5,True,0,12,True,True,1676315604
521c2122c791ed038168c3b8ff24061b,14th & Ontario,49.25849,-123.104799,9,7,2023-02-13T19:22:31.381000Z,0132,5,True,2,16,True,True,1676315941
838d5bb59963474ad08a6d5b156943ed,14th & Main,49.258425,-123.100792,9,5,2023-02-13T19:22:31.369000Z,0134,5,True,0,14,True,True,1676315610
b9ab6ce009eda6006ade1d7568d9db9c,David Lam Park - West,49.270905,-123.126006,5,13,2023-02-13T19:22:31.378000Z,0136,13,True,0,18,True,True,1676316147
9ec4163496363b31ab475cb851b57b21,Beach & Seymour,49.273568,-123.129935,9,9,2023-02-13T19:22:31.379000Z,0137,9,True,0,18,True,True,1676316080
fedff7a263c182df94bda7307059cc52,Richards & Helmcken,49.277141,-123.122589,14,2,2023-02-13T19:22:31.701000Z,0138,1,True,1,18,True,True,1676315949
b9baf685b7053de899bf3467f61c2781,Burrard & 4th,49.267859,-123.145782,6,10,2023-02-13T19:22:31.709000Z,0139,10,True,0,16,True,True,1676316026
8d6f0cbf7d44d2908c8ce73ed00dbf66,Burrard & 7th,49.265336,-123.145823,9,7,2023-02-13T19:22:31.399000Z,0140,7,True,0,16,True,True,1676316117
988f8f74c4a12d1a30ddf2f7cd6318f8,South False Creek Seawall,49.267628,-123.127698,4,10,2023-02-13T19:22:31.400000Z,0143,7,True,3,14,True,True,1676315996
