POI_category_name,POI_category_ID,station_id,station_name,fsq_id,POI_name,distance,timezone,link,categories_id,categories_name,categories_icon.prefix,categories_icon.suffix
EV Charging Station,19006,32f70f7ae14ba87523c6286a6c4d5c37,Smithe & Burrard,a64ba6ed6b0057b1e68f5173,Electric Charging Station,314,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,32f70f7ae14ba87523c6286a6c4d5c37,Smithe & Burrard,c19d6e727d27af219fa6f680,Tesla Supercharger,329,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,32f70f7ae14ba87523c6286a6c4d5c37,Smithe & Burrard,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,519,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,0e0aef6fabaa808b3a3cef24657257a4,Richards & Smithe,5b9d8e07f00a70002c36745e,Tesla Supercharger,984,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,0e0aef6fabaa808b3a3cef24657257a4,Richards & Smithe,c19d6e727d27af219fa6f680,Tesla Supercharger,308,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,0e0aef6fabaa808b3a3cef24657257a4,Richards & Smithe,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,480,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,0e0aef6fabaa808b3a3cef24657257a4,Richards & Smithe,a64ba6ed6b0057b1e68f5173,Electric Charging Station,655,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,90c746df94ce1a12f1f617acfe4a8ce3,Bute & Robson,5b9d8e07f00a70002c36745e,Tesla Supercharger,941,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,90c746df94ce1a12f1f617acfe4a8ce3,Bute & Robson,a64ba6ed6b0057b1e68f5173,Electric Charging Station,385,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,90c746df94ce1a12f1f617acfe4a8ce3,Bute & Robson,c19d6e727d27af219fa6f680,Tesla Supercharger,668,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
